OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
203800,2013,361,20,2126318,5890
206200,2013,2916,68,21328193,7314
301801,2013,1224,51,8933957,7299
301800,2013,10183,69,70984347,6971
485300,2013,509,94,3533795,6943
972100,2013,438,94,3051228,6966
3382300,2013,0,0,0,
164100,2013,3284,67,23421995,7132
2106800,2013,113,17,370262,3277
4194600,2013,0,0,0,
213300,2013,1827,51,13348768,7306
4161800,2013,1939,55,19172820,9888
4128800,2013,14,13,140000,10000
2074005,2013,445,75,2229836,5011
NULL,2013,NULL,NULL,NULL,
2074004,2013,988,74,4904030,4964
2074000,2013,618,66,3999126,6471
1085101,2013,331,80,1962049,5928
1085102,2013,160,81,1079029,6744
1085100,2013,139,81,928242,6678
2074002,2013,636,67,3923192,6169
2074003,2013,821,71,5134437,6254
2074001,2013,525,69,3373824,6426
NULL,2013,NULL,NULL,NULL,
728700,2013,128,3,491749,3842
155600,2013,1286,75,12751527,9916
195800,2013,708,83,4867980,6876
291200,2013,435,69,3163207,7272
2601600,2013,0,0,0,
155700,2013,421,62,2645597,6284
184600,2013,851,83,6310161,7415
2075700,2013,1784,88,13357232,7487
618100,2013,161,100,1410800,8763
2115400,2013,0,0,0,
NULL,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
370400,2013,1282,73,9314620,7266
218300,2013,5131,53,36232188,7061
160600,2013,693,22,3132165,4520
162500,2013,5920,26,28350658,4789
367000,2013,5958,19,36378563,6106
3611300,2013,0,0,0,
4211200,2013,18,17,84900,4717
778100,2013,195,21,898032,4605
491000,2013,386,65,2577246,6677
491001,2013,907,68,6547862,7219
